요양기관명	*	주소	*	전화번호	*	좌표(X)	*	좌표(Y)
강릉아산병원	*	강원특별자치도 강릉시 사천면 방동길 38-0, 강릉아산병원	*	033-610-3114	*	128.8578411	*	37.8184324
강원대학교병원	*	강원특별자치도 춘천시 백령로 156, (효자동)	*	033-258-2000	*	127.7448909	*	37.8751611
강원특별자치도강릉의료원	*	강원특별자치도 강릉시 경강로 2007-0, 강릉의료원	*	033-610-1200	*	128.8888316	*	37.7492828
강원특별자치도삼척의료원	*	강원특별자치도 삼척시 오십천로 473-0, 강원특별자치도삼척의료원	*	033-572-1141	*	129.1705232	*	37.4400223
강원특별자치도속초의료원	*	강원특별자치도 속초시 영랑호반길 3, (영랑동)	*	033-630-6000	*	128.5892486	*	38.2164607
강원특별자치도영월의료원	*	강원특별자치도 영월군 영월읍 중앙1로 59, (영월읍)	*	033-370-9101	*	128.4652387	*	37.1864525
강원특별자치도원주의료원	*	강원특별자치도 원주시 서원대로 387,  (개운동)	*	033-760-4500	*	127.949225	*	37.332608
근로복지공단 동해병원	*	강원특별자치도 동해시 하평로 11, (평릉동)	*	033-530-3100	*	129.106078	*	37.5321225
근로복지공단 태백병원	*	강원특별자치도 태백시 보드미길 8,  (장성동)	*	033-580-3114	*	129.0043366	*	37.1040964
연세대학교 원주세브란스기독병원	*	강원특별자치도 원주시 일산로 20-0,  (일산동)	*	033-741-0114	*	127.9456638	*	37.3490013
온재병원	*	강원특별자치도 속초시 중앙로 11-0, 속초보광병원	*	033-639-8500	*	128.5783901	*	38.1980014
의료법인 강릉동인병원	*	강원특별자치도 강릉시 강릉대로419번길 42-0,  (포남동)	*	033-650-6161	*	128.90735	*	37.77435
의료법인 동해동인병원	*	강원특별자치도 동해시 하평로 26, (평릉동)	*	033-530-0114	*	129.1074625	*	37.5299417
의산의료재단 강릉고려병원	*	강원특별자치도 강릉시 옥가로 30, (옥천동)	*	033-649-0100	*	128.8998047	*	37.7590068
한림대학교춘천성심병원	*	강원특별자치도 춘천시 삭주로 77, 77	*	033-240-5000	*	127.7399592	*	37.8840791
홍천아산병원	*	강원특별자치도 홍천군 홍천읍 산림공원1길 17, 17	*	033-430-5151	*	127.8948538	*	37.6908303
(의)영문의료재단 다보스병원	*	경기도 용인시 처인구 백옥대로1082번길 18, 다보스종합병원 (김량장동)	*	031-8021-2114	*	127.2114647	*	37.2314882
가톨릭대학교 성빈센트병원	*	경기도 수원시 팔달구 중부대로 93, (지동)	*	031-1577-8588	*	127.0274271	*	37.2779855
가톨릭대학교부천성모병원	*	경기도 부천시 원미구 소사로 327, 가톨릭대학교 부천성모병원 (소사동)	*	032-1577-0675	*	126.7924166	*	37.4871165
가톨릭대학교의정부성모병원	*	경기도 의정부시 천보로 271, 의정부성모병원 (금오동)	*	1661-7500	*	127.0777625	*	37.7587045
강남병원	*	경기도 용인시 기흥구 중부대로 411, 강남병원 (신갈동)	*	031-300-0114	*	127.1115072	*	37.2737515
경기도의료원 수원병원	*	경기도 수원시 장안구 수성로245번길 69, (정자동)	*	031-888-0114	*	126.9963375	*	37.2918917
경기도의료원 안성병원	*	경기도 안성시 남파로 95, 경기도의료원 안성병원 (당왕동)	*	031-8046-5000	*	127.2603859	*	37.0173296
경기도의료원 이천병원	*	경기도 이천시 경충대로 2742, (관고동)	*	031-630-4200	*	127.4330563	*	37.2828595
경기도의료원의정부병원	*	경기도 의정부시 흥선로 142, (의정부동)	*	031-828-5000	*	127.0425004	*	37.741161
경기도의료원파주병원	*	경기도 파주시 중앙로 207, 경기도립의료원파주병원 (금촌동)	*	031-940-9100	*	126.7801502	*	37.7550649
경기도의료원포천병원	*	경기도 포천시 포천로 1648, (신읍동)	*	031-539-9114	*	127.19828	*	37.9033162
고려대학교의과대학부속안산병원	*	경기도 안산시 단원구 적금로 123, (고잔동)	*	031-1577-7516	*	126.8249033	*	37.3185144
광명성애병원	*	경기도 광명시 디지털로 36, 광명성애병원 (철산동)	*	02-2680-7114	*	126.8713502	*	37.4736659
국군수도병원	*	경기도 성남시 분당구 새마을로177번길 81, (율동)	*	031-725-6075	*	127.1490674	*	37.3923789
국립암센터	*	경기도 고양시 일산동구 일산로 323, (마두동)	*	031-920-0114	*	126.7834097	*	37.6632301
국민건강보험공단일산병원	*	경기도 고양시 일산동구 일산로 100, (백석동,백석1동 1241외1필지 4층)	*	1577-0013	*	126.7930401	*	37.6454754
근로복지공단안산병원	*	경기도 안산시 상록구 구룡로 87, 근로복지공단안산병원 (일동)	*	031-500-1114	*	126.874139	*	37.3167269
남양주 한양병원	*	경기도 남양주시 오남읍 양지로 47-55, 47	*	031-510-0114	*	127.2043933	*	37.6823474
뉴대성병원	*	경기도 부천시 원미구 부천로 91, ,부흥로373번길18, 부흥로377(기존디에스병원A동) (심곡동)	*	032-610-1111	*	126.7841872	*	37.4925524
대아의료재단한도병원	*	경기도 안산시 단원구 선부광장로 103, (선부동)	*	031-8040-1114	*	126.8076223	*	37.3340586
대진의료재단 분당제생병원	*	경기도 성남시 분당구 서현로180번길 20, (서현동)	*	031-779-0114	*	127.1217783	*	37.3882035
동국대학교일산불교병원	*	경기도 고양시 일산동구 동국로 27, (식사동, 동국대학교일산병원)	*	031-1577-7000	*	126.8064233	*	37.6763969
메디인병원	*	경기도 파주시 금릉역로 190, (금촌동)	*	031-943-1191	*	126.766669	*	37.7610733
메디필드한강병원	*	경기도 용인시 처인구 금령로39번길 8-6, (김량장동)	*	1551-0077	*	127.2010803	*	37.2353957
부천세종병원	*	경기도 부천시 소사구 호현로489번길 28, (소사본동, 세종병원)	*	1599-6677	*	126.7913172	*	37.4809661
부천우리병원	*	경기도 부천시 오정구 소사로 726, (원종동)	*	032-672-4100	*	126.8052027	*	37.5208668
분당서울대학교병원	*	경기도 성남시 분당구 구미로173번길 82, (구미동, 분당서울대학교병원)	*	031-787-2114	*	127.1232509	*	37.3519807
성남시의료원	*	경기도 성남시 수정구 수정로171번길 10, 성남시의료원 (태평동)	*	031-738-7000	*	127.1390646	*	37.4449939
성남중앙병원	*	경기도 성남시 중원구 산성대로476번길 12, (금광동)	*	031-743-3000	*	127.1619932	*	37.4528497
세종여주병원	*	경기도 여주시 청심로 39, 세종여주병원 (하동)	*	031-880-7700	*	127.6253003	*	37.301484
